Food,Category,Calories (per serving),Rasa (Taste),Guna (Qualities),Virya (Potency)
Lentils (Dal),Dairy,207,Bitter,Oily,Hot
Almonds,Dairy,289,Astringent,Heavy,Hot
Buttermilk,Nut,39,Sour,Cool,Cold
Oats,Nut,275,Sour,Dry,Hot
Cumin,Nut,11,Bitter,Heavy,Cold
Cauliflower,Legume,81,Pungent,Cool,Cold
Spinach,Vegetable,116,Sweet,Dry,Cold
Broccoli,Dairy,148,Astringent,Dry,Hot
Coriander,Spice,212,Bitter,Oily,Hot
Mango,Spice,105,Sour,Oily,Hot
Turmeric,Vegetable,47,Sour,Oily,Hot
Ginger,Spice,156,Pungent,Warm,Cold
Pomegranate,Grain,158,Sour,Cool,Cold
Apple,Fruit,289,Pungent,Dry,Hot
Spinach,Nut,280,Sour,Light,Cold
Barley,Spice,196,Bitter,Heavy,Cold
Almonds,Dairy,190,Sweet,Warm,Cold
Cauliflower,Spice,220,Sweet,Light,Hot
Banana,Legume,104,Sour,Light,Cold
Kidney Beans,Legume,288,Sweet,Warm,Cold
Walnuts,Fruit,116,Pungent,Dry,Cold
Mango,Grain,179,Sweet,Oily,Hot
Broccoli,Fruit,41,Bitter,Light,Cold
Turmeric,Grain,107,Sweet,Light,Cold
Cumin,Spice,1,Astringent,Light,Cold
Brown Rice,Nut,18,Pungent,Warm,Cold
Cashews,Spice,81,Astringent,Heavy,Cold
Milk,Grain,47,Sour,Heavy,Hot
Quinoa,Dairy,251,Sweet,Dry,Cold
Coriander,Dairy,188,Astringent,Warm,Hot
Brown Rice,Legume,290,Sweet,Oily,Cold
Spinach,Legume,69,Pungent,Dry,Cold
Turmeric,Legume,249,Sour,Cool,Hot
Lentils (Dal),Fruit,257,Sweet,Light,Cold
Brown Rice,Spice,167,Sour,Oily,Hot
Cauliflower,Grain,91,Pungent,Heavy,Hot
Lentils (Dal),Legume,228,Astringent,Heavy,Hot
Pomegranate,Grain,260,Astringent,Cool,Cold
Milk,Legume,145,Sweet,Warm,Hot
Apple,Nut,128,Bitter,Dry,Cold
Kidney Beans,Grain,184,Sour,Oily,Hot
Yogurt,Grain,123,Sweet,Cool,Cold
Quinoa,Dairy,165,Pungent,Light,Cold
Quinoa,Legume,106,Bitter,Dry,Cold
Walnuts,Grain,212,Sour,Oily,Hot
Pomegranate,Vegetable,261,Sour,Warm,Cold
Oats,Nut,121,Sweet,Light,Hot
Oats,Fruit,188,Bitter,Warm,Cold
Banana,Nut,60,Sour,Oily,Hot
Quinoa,Legume,97,Astringent,Cool,Cold
Ghee,Nut,80,Pungent,Warm,Cold
Pomegranate,Nut,111,Sweet,Cool,Cold
Apple,Grain,119,Bitter,Heavy,Cold
Kidney Beans,Vegetable,137,Sour,Warm,Hot
Ginger,Legume,122,Pungent,Heavy,Hot
Turmeric,Dairy,182,Sour,Warm,Cold
Chickpeas,Grain,194,Sour,Dry,Cold
Buttermilk,Fruit,271,Bitter,Heavy,Cold
Turmeric,Legume,194,Sweet,Oily,Hot
Moong Dal,Nut,104,Astringent,Oily,Cold
Chickpeas,Dairy,261,Astringent,Light,Hot
Almonds,Dairy,170,Sweet,Heavy,Hot
Ghee,Nut,299,Pungent,Light,Cold
Walnuts,Fruit,274,Sour,Dry,Cold
Quinoa,Legume,41,Bitter,Dry,Hot
Milk,Spice,289,Astringent,Light,Hot
Cucumber,Nut,133,Sour,Light,Hot
Ghee,Vegetable,118,Bitter,Dry,Cold
Cumin,Nut,224,Astringent,Heavy,Hot
Quinoa,Legume,160,Bitter,Light,Hot
Buttermilk,Fruit,289,Pungent,Cool,Cold
Broccoli,Dairy,291,Pungent,Warm,Cold
Apple,Fruit,91,Astringent,Oily,Cold
Barley,Spice,143,Astringent,Warm,Cold
Moong Dal,Legume,121,Astringent,Light,Hot
Turmeric,Nut,246,Pungent,Cool,Hot
Walnuts,Fruit,205,Pungent,Cool,Hot
Cucumber,Dairy,202,Sour,Cool,Hot
Ghee,Grain,211,Pungent,Dry,Hot
Black Beans,Grain,94,Sour,Dry,Cold
Chickpeas,Fruit,258,Bitter,Warm,Cold
Buttermilk,Fruit,43,Sweet,Warm,Hot
Cucumber,Spice,112,Bitter,Cool,Cold
Cucumber,Fruit,23,Sour,Dry,Cold
Milk,Dairy,27,Pungent,Dry,Cold
Mango,Vegetable,58,Sour,Heavy,Hot
Ginger,Vegetable,231,Sour,Cool,Cold
Oats,Nut,48,Astringent,Warm,Cold
Carrot,Legume,58,Bitter,Oily,Cold
Moong Dal,Spice,61,Pungent,Heavy,Hot
Oats,Fruit,243,Sweet,Light,Hot
Almonds,Grain,27,Pungent,Heavy,Hot
Chickpeas,Spice,296,Pungent,Warm,Cold
Mango,Fruit,248,Sweet,Light,Cold
Cumin,Legume,137,Sweet,Warm,Hot
Cumin,Fruit,156,Pungent,Dry,Cold
Brown Rice,Fruit,22,Pungent,Cool,Cold
Yogurt,Spice,5,Pungent,Oily,Cold
Buttermilk,Spice,263,Bitter,Oily,Cold
Moong Dal,Legume,198,Sour,Light,Cold
Black Beans,Nut,182,Bitter,Warm,Cold
Black Beans,Legume,85,Astringent,Warm,Hot
Banana,Spice,67,Astringent,Light,Cold
Yogurt,Grain,270,Sour,Heavy,Cold
Walnuts,Vegetable,74,Astringent,Oily,Hot
Lentils (Dal),Legume,145,Sour,Heavy,Cold
Coriander,Legume,219,Astringent,Light,Hot
Yogurt,Dairy,161,Bitter,Warm,Cold
Carrot,Legume,282,Bitter,Warm,Hot
Cashews,Legume,277,Sweet,Oily,Hot
Almonds,Spice,26,Astringent,Light,Cold
Chickpeas,Legume,88,Sour,Light,Hot
Ginger,Grain,268,Pungent,Cool,Hot
Barley,Fruit,291,Astringent,Cool,Cold
Chickpeas,Vegetable,125,Sour,Light,Hot
Coriander,Dairy,245,Pungent,Dry,Cold
Pomegranate,Fruit,123,Bitter,Dry,Hot
Cashews,Fruit,118,Astringent,Oily,Cold
Turmeric,Nut,228,Bitter,Heavy,Cold
Buttermilk,Dairy,93,Sour,Heavy,Hot
Cumin,Nut,148,Sour,Oily,Cold
Oats,Fruit,181,Sweet,Light,Hot
Turmeric,Grain,255,Astringent,Dry,Hot
Oats,Vegetable,294,Sour,Cool,Cold
Ginger,Vegetable,71,Astringent,Light,Cold
Apple,Dairy,26,Sour,Cool,Cold
Cauliflower,Vegetable,122,Pungent,Oily,Hot
Moong Dal,Vegetable,281,Sour,Dry,Hot
Yogurt,Nut,238,Astringent,Cool,Cold
Mango,Fruit,248,Sweet,Oily,Hot
Banana,Nut,286,Astringent,Dry,Cold
Cashews,Fruit,61,Sweet,Light,Cold
Barley,Nut,77,Pungent,Heavy,Hot
Ginger,Fruit,24,Astringent,Oily,Hot
Yogurt,Legume,161,Pungent,Warm,Cold
Mango,Spice,23,Bitter,Warm,Cold
Cumin,Fruit,129,Sweet,Heavy,Hot
Chickpeas,Vegetable,121,Astringent,Heavy,Hot
Milk,Grain,65,Sweet,Heavy,Cold
Quinoa,Vegetable,216,Sour,Warm,Hot
Carrot,Grain,34,Bitter,Warm,Hot
Mango,Vegetable,152,Pungent,Warm,Cold
Broccoli,Legume,61,Bitter,Heavy,Cold
Moong Dal,Grain,284,Sweet,Heavy,Cold
Ghee,Fruit,216,Sour,Light,Hot
Buttermilk,Vegetable,136,Bitter,Light,Cold
Turmeric,Legume,36,Pungent,Cool,Cold
Barley,Nut,136,Sour,Heavy,Cold
Coriander,Legume,272,Pungent,Cool,Cold
Ginger,Grain,163,Sweet,Warm,Hot
Almonds,Fruit,236,Sweet,Light,Cold
Coriander,Legume,61,Pungent,Heavy,Hot
Moong Dal,Vegetable,48,Bitter,Heavy,Hot
Turmeric,Vegetable,284,Pungent,Oily,Cold
Milk,Dairy,36,Bitter,Heavy,Cold
Barley,Grain,125,Sweet,Warm,Cold
Buttermilk,Fruit,81,Astringent,Oily,Hot
Yogurt,Vegetable,24,Bitter,Warm,Cold
Cashews,Fruit,225,Pungent,Oily,Cold
Kidney Beans,Spice,251,Pungent,Heavy,Cold
Ginger,Legume,4,Bitter,Warm,Cold
Barley,Fruit,200,Bitter,Cool,Cold
Moong Dal,Nut,115,Bitter,Dry,Hot
Cashews,Fruit,123,Sour,Warm,Cold
